               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  75,              1.3561,             0.96146,              1.3268,             0.50761,             0.54499,             0.51303,             0.23995,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.4451,              1.0252,              1.3707,             0.71793,             0.44446,             0.51804,             0.23078,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.3738,             0.95873,              1.3128,             0.68731,             0.44319,             0.51379,             0.23014,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.3502,             0.92342,              1.2818,             0.52905,             0.53473,             0.51304,             0.22896,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.3998,             0.96967,                1.34,             0.55244,             0.54179,              0.5277,             0.24896,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.3794,             0.92911,               1.295,             0.61556,             0.53461,             0.54241,             0.24355,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.3043,             0.92623,              1.3203,             0.59765,             0.52635,             0.52307,             0.25102,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.3405,             0.92345,              1.3065,             0.56131,              0.5609,             0.53653,             0.23897,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.3457,             0.93029,               1.327,             0.64152,             0.51259,             0.53217,             0.23191,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,               1.304,              0.9022,              1.3165,             0.66528,             0.48659,             0.50003,              0.2335,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.3175,             0.90936,              1.3041,             0.69612,             0.48576,             0.51168,              0.2364,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.3121,             0.89615,              1.2977,             0.61734,             0.53421,             0.53647,               0.251,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.2838,             0.86866,              1.2939,             0.66196,             0.49743,             0.55699,             0.24701,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              1.2763,              0.8585,              1.2926,             0.69315,             0.47255,             0.54168,             0.24762,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.3093,             0.87474,              1.2809,             0.70065,             0.49564,             0.55508,             0.24681,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.2414,             0.86339,              1.2603,              0.7248,             0.51502,             0.56694,             0.24245,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.2929,             0.87468,               1.297,             0.72119,             0.50172,              0.5601,             0.25065,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.2602,             0.85041,              1.2736,             0.63069,             0.53166,             0.55496,             0.24361,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.2753,             0.86707,              1.2998,             0.71512,             0.48946,              0.5227,              0.2472,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.2555,             0.85244,              1.2705,             0.66797,             0.49258,             0.53487,             0.24588,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.2211,             0.79314,               1.273,             0.66695,             0.49627,             0.53092,             0.24001,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.2299,             0.83323,              1.2739,             0.72516,             0.48738,             0.54103,             0.25523,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.2306,             0.81713,              1.2598,             0.72059,              0.4885,             0.54261,             0.24992,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.2099,             0.79854,              1.2547,             0.70631,             0.49224,             0.54766,             0.24583,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.2227,             0.78192,              1.2541,             0.71202,             0.48992,             0.54411,             0.24696,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
